01/0001,"雜歌 / 泊瀬朝倉宮御宇天皇代 [<大>泊瀬稚武天皇] / 天皇御製歌","篭毛與 美篭母乳 布久思毛與 美夫君志持 此岳尓 菜採須兒 家吉閑名 告<紗>根 虚見津 山跡乃國者 押奈戸手 吾許曽居 師<吉>名倍手 吾己曽座 我<許>背齒 告目 家呼毛名雄母","篭もよ み篭持ち 堀串もよ み堀串持ち この岡に 菜摘ます子 家聞かな 告らさね そらみつ 大和の国は おしなべて 我れこそ居れ しきなべて 我れこそ座せ 我れこそば 告らめ 家をも名をも","こもよ みこもち ふくしもよ みぶくしもち このをかに なつますこ いへきかな のらさね そらみつ やまとのくには おしなべて われこそをれ しきなべて われこそませ われこそば のらめ いへをもなをも","なし","雑歌 [元][紀] <> / 太 -> 大 [紀][冷][文] / 吉 [玉小琴](塙)(楓) 告 /沙 -> 紗 [元][類][冷] / 告 -> 吉 [玉小琴] / 許者 -> 許 [元][類][古]","雑歌 作者：雄略天皇 朝倉宮 野遊び 演劇 妻問媿 予祝 枕詞 地名 奈良","こもよ[寛],#みこもち[寛],#ふくしもよ[寛],#みぶくしもち,[寛]みふくしもち,#このをかに[寛],#なつますこ,[寛]なつむすこ,#いへきかな[寛],#のらさね,[寛]つけさね,#そらみつ[寛],#やまとのくには[寛],#おしなべて,[寛]おしなへて,#われこそをれ,[寛]われこそをらし,#しきなべて,[寛]つけなへて,#われこそませ[略],[寛]われこそをらし,#われこそば,[寛]われこそは,#のらめ,[寛]せなにはつけめ,#いへをもなをも[寛],##"
16/3864,"（筑前國志賀白水郎歌十首）","官許曽 指弖毛遣米 情出尓 行之荒雄良 波尓袖振","官こそさしても遣らめさかしらに行きし荒雄ら波に袖振る","つかさこそ さしてもやらめ さかしらに ゆきしあらをら なみにそでふる","（右以神龜年中大宰府差筑前國宗像郡之百姓宗形部津麻呂宛對馬送粮舶柁師也 于時津麻呂詣於滓屋郡志賀村白水郎荒雄之許語曰 僕有小事若疑不許歟 荒雄答曰 走雖異郡同船日久 志篤兄弟在於殉死 豈復辞哉 津麻呂曰府官差僕宛對馬送粮舶柁師 容齒衰老不堪海路 故来祇候願垂相替矣 於是荒雄許諾遂従彼事自肥前國松浦縣美祢良久<埼>發舶直射對馬渡海登時忽天暗冥暴風交雨竟無順風沈没海中焉 因斯妻子等不勝犢慕裁作此歌 或云 筑前國守山上憶良臣悲感妻子之傷述志而作此歌）","なし","雑歌 作者：山上憶良 志賀白水郎 荒雄 伝承 同情 恋情 功績 悲別 代作 志賀島 福岡 神亀 年紀","つかさこそ[寛],#さしてもやらめ[寛],#さかしらに[寛],#ゆきしあらをら[寛],#なみにそでふる,[寛]なみにそてふる,##"
16/3865,"（筑前國志賀白水郎歌十首）","荒雄良者 妻子之産業乎波 不念呂 年之八歳乎 将騰来不座","荒雄らは妻子の業をば思はずろ年の八年を待てど来まさず","あらをらは めこのなりをば おもはずろ としのやとせを まてどきまさず","（右以神龜年中大宰府差筑前國宗像郡之百姓宗形部津麻呂宛對馬送粮舶柁師也 于時津麻呂詣於滓屋郡志賀村白水郎荒雄之許語曰 僕有小事若疑不許歟 荒雄答曰 走雖異郡同船日久 志篤兄弟在於殉死 豈復辞哉 津麻呂曰府官差僕宛對馬送粮舶柁師 容齒衰老不堪海路 故来祇候願垂相替矣 於是荒雄許諾遂従彼事自肥前國松浦縣美祢良久<埼>發舶直射對馬渡海登時忽天暗冥暴風交雨竟無順風沈没海中焉 因斯妻子等不勝犢慕裁作此歌 或云 筑前國守山上憶良臣悲感妻子之傷述志而作此歌）","なし","雑歌 作者：山上憶良 志賀白水郎 荒雄 伝承 同情 恋情 功績 悲別 代作 荒雄妻 女歌 地名 志賀島 福岡 神亀 年紀","あらをらは[寛],#めこのなりをば,[寛]めこのわさをは,#おもはずろ,[寛]おもはすろ,#としのやとせを[寛],#まてどきまさず,[寛]まてときまさす,##"
16/3866,"（筑前國志賀白水郎歌十首）","奥鳥 鴨云船之 還来者 也良乃<埼>守 早告許曽","沖つ鳥鴨とふ船の帰り来ば也良の崎守早く告げこそ","おきつとり かもとふふねの かへりこば やらのさきもり はやくつげこそ","（右以神龜年中大宰府差筑前國宗像郡之百姓宗形部津麻呂宛對馬送粮舶柁師也 于時津麻呂詣於滓屋郡志賀村白水郎荒雄之許語曰 僕有小事若疑不許歟 荒雄答曰 走雖異郡同船日久 志篤兄弟在於殉死 豈復辞哉 津麻呂曰府官差僕宛對馬送粮舶柁師 容齒衰老不堪海路 故来祇候願垂相替矣 於是荒雄許諾遂従彼事自肥前國松浦縣美祢良久<埼>發舶直射對馬渡海登時忽天暗冥暴風交雨竟無順風沈没海中焉 因斯妻子等不勝犢慕裁作此歌 或云 筑前國守山上憶良臣悲感妻子之傷述志而作此歌）","崎 -> 埼 [尼][類][紀]","雑歌 作者：山上憶良 志賀白水郎 荒雄 伝承 同情 恋情 功績 悲別 代作 荒雄妻 女歌 地名 志賀島 福岡 神亀 年紀","おきつとり[寛],#かもとふふねの,[寛]かもといふふねの,#かへりこば,[寛]かへりこは,#やらのさきもり[寛],#はやくつげこそ,[寛]はやくつけこそ,##"
16/3867,"（筑前國志賀白水郎歌十首）","奥鳥 鴨云舟者 也良乃<埼> 多未弖榜来跡 所<聞>許奴可聞","沖つ鳥鴨とふ船は也良の崎廻みて漕ぎ来と聞こえ来ぬかも","おきつとり かもとふふねは やらのさき たみてこぎくと きこえこぬかも","（右以神龜年中大宰府差筑前國宗像郡之百姓宗形部津麻呂宛對馬送粮舶柁師也 于時津麻呂詣於滓屋郡志賀村白水郎荒雄之許語曰 僕有小事若疑不許歟 荒雄答曰 走雖異郡同船日久 志篤兄弟在於殉死 豈復辞哉 津麻呂曰府官差僕宛對馬送粮舶柁師 容齒衰老不堪海路 故来祇候願垂相替矣 於是荒雄許諾遂従彼事自肥前國松浦縣美祢良久<埼>發舶直射對馬渡海登時忽天暗冥暴風交雨竟無順風沈没海中焉 因斯妻子等不勝犢慕裁作此歌 或云 筑前國守山上憶良臣悲感妻子之傷述志而作此歌）","崎 -> 埼 [尼][類][紀] / 聞礼 -> 聞 [尼]","雑歌 作者：山上憶良 志賀白水郎 荒雄 伝承 同情 恋情 功績 悲別 代作 荒雄妻 女歌 地名 志賀島 福岡 神亀 年紀","おきつとり[寛],#かもとふふねは,[寛]かもといふふねは,#やらのさき[寛],#たみてこぎくと,[寛]たみてこきくと,#きこえこぬかも,[寛]きかしこぬかも,##"
16/3868,"（筑前國志賀白水郎歌十首）","奥去哉 赤羅小船尓 褁遣者 若人見而 解披見鴨","沖行くや赤ら小舟につと遣らばけだし人見て開き見むかも","おきゆくや あからをぶねに つとやらば けだしひとみて ひらきみむかも","（右以神龜年中大宰府差筑前國宗像郡之百姓宗形部津麻呂宛對馬送粮舶柁師也 于時津麻呂詣於滓屋郡志賀村白水郎荒雄之許語曰 僕有小事若疑不許歟 荒雄答曰 走雖異郡同船日久 志篤兄弟在於殉死 豈復辞哉 津麻呂曰府官差僕宛對馬送粮舶柁師 容齒衰老不堪海路 故来祇候願垂相替矣 於是荒雄許諾遂従彼事自肥前國松浦縣美祢良久<埼>發舶直射對馬渡海登時忽天暗冥暴風交雨竟無順風沈没海中焉 因斯妻子等不勝犢慕裁作此歌 或云 筑前國守山上憶良臣悲感妻子之傷述志而作此歌）","なし","雑歌 作者：山上憶良 志賀白水郎 荒雄 伝承 同情 恋情 功績 悲別 代作 荒雄妻 女歌 地名 志賀島 福岡 神亀 年紀","おきゆくや[寛],#あからをぶねに,[寛]あからをふねに,#つとやらば,[寛]つとやらは,#けだしひとみて,[寛]わかきひとみて,#ひらきみむかも,[寛]ときあけみむかも,##"
16/3869,"（筑前國志賀白水郎歌十首）","大船尓 小船引副 可豆久登毛 志賀乃荒雄尓 潜将相八方","大船に小舟引き添へ潜くとも志賀の荒雄に潜き逢はめやも","おほぶねに をぶねひきそへ かづくとも しかのあらをに かづきあはめやも","右以神龜年中大宰府差筑前國宗像郡之百姓宗形部津麻呂宛對馬送粮舶柁師也 于時津麻呂詣於滓屋郡志賀村白水郎荒雄之許語曰 僕有小事若疑不許歟 荒雄答曰 走雖異郡同船日久 志篤兄弟在於殉死 豈復辞哉 津麻呂曰府官差僕宛對馬送粮舶柁師 容齒衰老不堪海路 故来祇候願垂相替矣 於是荒雄許諾遂従彼事自肥前國松浦縣美祢良久<埼>發舶直射對馬渡海登時忽天暗冥暴風交雨竟無順風沈没海中焉 因斯妻子等不勝犢慕裁作此歌 或云 筑前國守山上憶良臣悲感妻子之傷述志而作此歌","崎 -> 埼 [尼][類][紀]","雑歌 作者：山上憶良 志賀白水郎 荒雄 伝承 同情 恋情 功績 悲別 代作 荒雄妻 女歌 地名 志賀島 福岡 神亀 年紀","おほぶねに,[寛]おほふねに,#をぶねひきそへ,[寛]をふねひきそへ,#かづくとも,[寛]かつくとも,#しかのあらをに[寛],#かづきあはめやも,[寛]かつきあはむやも,##"
16/3870,"なし","紫乃 粉滷乃海尓 潜鳥 珠潜出者 吾玉尓将為","紫の粉潟の海に潜く鳥玉潜き出ば我が玉にせむ","むらさきの こがたのうみに かづくとり たまかづきでば わがたまにせむ","右歌一首","なし","雑歌 地名 枕詞 動物 民謡 歌謡 恋愛 譬喩","むらさきの[寛],#こがたのうみに,[寛]こかたのうみに,#かづくとり,[寛]かつくとり,#たまかづきでば,[寛]たまかつきいては,#わがたまにせむ,[寛]わかたまにせむ,##"
16/3871,"なし","角嶋之 迫門乃稚海藻者 人之共 荒有之可杼 吾共者和海藻","角島の瀬戸のわかめは人の共荒かりしかど我れとは和海藻","つのしまの せとのわかめは ひとのむた あらかりしかど われとはにきめ","右歌一首","なし","雑歌 地名 山口 植物 民謡 歌謡 歌垣 譬喩","つのしまの[寛],#せとのわかめは[寛],#ひとのむた,[寛]ひとのとも,#あらかりしかど,[寛]あれたりしかと,#われとはにきめ,[寛]わかともはわかめ,##"
16/3872,"なし","吾門之 榎實毛利喫 百千鳥 々々者雖来 君曽不来座","我が門の榎の実もり食む百千鳥千鳥は来れど君ぞ来まさぬ","わがかどの えのみもりはむ ももちとり ちとりはくれど きみぞきまさぬ","（右歌二首）","なし","雑歌 植物 動物 女歌 怨恨 恋情 民謡 歌謡","わがかどの,[寛]わかかとの,#えのみもりはむ[寛],#ももちとり[寛],#ちとりはくれど,[寛]ちとりはくれと,#きみぞきまさぬ,[寛]きみそきまさす,##"
16/3873,"なし","吾門尓 千鳥數鳴 起余々々 我一夜妻 人尓所知名","我が門に千鳥しば鳴く起きよ起きよ我が一夜夫人に知らゆな","わがかどに ちとりしばなく おきよおきよ わがひとよづま ひとにしらゆな","右歌二首","なし","雑歌 動物 女歌 遊行女婦 歌謡","わがかどに,[寛]わかかとに,#ちとりしばなく,[寛]ちとりしはなく,#おきよおきよ[寛],#わがひとよづま,[寛]わかひとよつま,#ひとにしらゆな,[寛]ひとにしらすな,##"
16/3874,"なし","所射鹿乎 認河邊之 和草 身若可倍尓 佐宿之兒等波母","射ゆ鹿を認ぐ川辺のにこ草の身の若かへにさ寝し子らはも","いゆししを つなぐかはへの にこぐさの みのわかかへに さねしこらはも","右歌一首","なし","雑歌 恋愛 回想 歌謡 動物 序詞","いゆししを,[寛]いるしかを,#つなぐかはへの,[寛]とむるかはへの,#にこぐさの,[寛]にこくさの,#みのわかかへに,[寛]みわかきかへに,#さねしこらはも[寛],##"
16/3875,"なし","琴酒乎 押垂小野従 出流水 奴流久波不出 寒水之 心毛計夜尓 所念 音之少寸 道尓相奴鴨 少寸四 道尓相佐婆 伊呂雅世流 菅笠小笠 吾宇奈雅流 珠乃七條 取替毛 将申物乎 少寸 道尓相奴鴨","琴酒を 押垂小野ゆ 出づる水 ぬるくは出でず 寒水の 心もけやに 思ほゆる 音の少なき 道に逢はぬかも 少なきよ 道に逢はさば 色げせる 菅笠小笠 我がうなげる 玉の七つ緒 取り替へも 申さむものを 少なき道に 逢はぬかも","ことさけを おしたれをのゆ いづるみづ ぬるくはいでず さむみづの こころもけやに おもほゆる おとのすくなき みちにあはぬかも すくなきよ みちにあはさば いろげせる すげかさをがさ わがうなげる たまのななつを とりかへも まをさむものを すくなきみちに あはぬかも","右歌一首","なし","雑歌 序詞 問答 恋愛","ことさけを[寛],#おしたれをのゆ,[寛]おしたれをのに,#いづるみづ,[寛]いつるみつ,#ぬるくはいでず,[寛]ぬるくはいてす,#さむみづの,[寛]ひやみつの,#こころもけやに[寛],#おもほゆる[寛],#おとのすくなき[寛],#みちにあはぬかも,[寛]みちにあひぬかも,#すくなきよ[寛],#みちにあはさば,[寛]みちにあへるさは,#いろげせる,[寛]いろちせる,#すげかさをがさ,[寛]すかかさをかさ,#わがうなげる,[寛]わかうなける,#たまのななつを[寛],#とりかへも,[寛]とりすても,#まをさむものを,[寛]まうさむものを,#すくなきみちに[寛],#あはぬかも,[寛]あひぬかも,##"
16/3876,"豊前國白水郎歌一首","豊國 企玖乃池奈流 菱之宇礼乎 採跡也妹之 御袖所沾計武","豊国の企救の池なる菱の末を摘むとや妹がみ袖濡れけむ","とよくにの きくのいけなる ひしのうれを つむとやいもが みそでぬれけむ","なし","なし","雑歌 福岡 採菱 労働 民謡 地名","とよくにの[寛],#きくのいけなる[寛],#ひしのうれを[寛],#つむとやいもが,[寛]つむとやいもか,#みそでぬれけむ,[寛]みそてぬれけむ,##"
16/3877,"豊後國白水郎歌一首","紅尓 染而之衣 雨零而 尓保比波雖為 移波米也毛","紅に染めてし衣雨降りてにほひはすともうつろはめやも","くれなゐに そめてしころも あめふりて にほひはすとも うつろはめやも","なし","なし","雑歌 大分 民謡 恋愛 歌謡","くれなゐに[寛],#そめてしころも[寛],#あめふりて[寛],#にほひはすとも[寛],#うつろはめやも[寛],##"
16/3878,"能登國歌三首","<堦>楯 熊来乃夜良尓 新羅斧 堕入 和之 河毛Ｒ河毛Ｒ 勿鳴為曽弥 浮出流夜登将見 和之","はしたての 熊来のやらに 新羅斧 落し入れ わし かけてかけて な泣かしそね 浮き出づるやと見む わし","はしたての くまきのやらに しらきをの おとしいれ わし かけてかけて ななかしそね うきいづるやとみむ わし","右一首傳云 或有愚人 斧堕海底而不解鐵沈無理浮水 聊作此歌口吟為喩也","楷 -> 堦 [尼][類][紀] / 河 [類]（塙） 阿","雑歌 石川 枕詞 民謡 歌謡 中島町 伝承 嘲笑 戯笑","はしたての[寛],#くまきのやらに[寛],#しらきをの[寛],#おとしいれ,[寛]おとしいるる,#わし[寛],#かけてかけて[寛],#ななかしそね[寛],#うきいづるやとみむ,[寛]うきいつるやとはたみてむ,#わし[寛],##"
16/3879,"（能登國歌三首）","堦楯 熊来酒屋尓 真奴良留奴 和之 佐須比立 率而来奈麻之乎 真奴良留奴 和之","はしたての 熊来酒屋に まぬらる奴 わし さすひ立て 率て来なましを まぬらる奴 わし","はしたての くまきさかやに まぬらるやつこ わし さすひたて ゐてきなましを まぬらるやつこ わし","右一首","なし","雑歌 石川 枕詞 中島町 民謡 歌謡 嘲笑 戯笑","はしたての[寛],#くまきさかやに[寛],#まぬらるやつこ,[寛]まのらるの,#わし[寛],#さすひたて[寛],#ゐてきなましを[寛],#まぬらるやつこ,[寛]まのらるの,#わし[寛],##"
16/3880,"（能登國歌三首）","所聞多祢乃 机之嶋能 小螺乎 伊拾持来而 石以 都追伎破夫利 早川尓 洗濯 辛塩尓 古胡登毛美 高坏尓盛 机尓立而 母尓奉都也 目豆兒乃<ス> 父尓獻都也 身女兒乃<ス>","鹿島嶺の 机の島の しただみを い拾ひ持ち来て 石もち つつき破り 早川に 洗ひ濯ぎ 辛塩に こごと揉み 高坏に盛り 机に立てて 母にあへつや 目豆児の刀自 父にあへつや 身女児の刀自","かしまねの つくゑのしまの しただみを いひりひもちきて いしもち つつきやぶり はやかはに あらひすすぎ からしほに こごともみ たかつきにもり つくゑにたてて ははにあへつや めづこのとじ ちちにあへつや みめこのとじ","なし","屓 -> ス [尼]","雑歌 石川 地名 能登島 民謡 歌謡","かしまねの,[寛]そもたねの,#つくゑのしまの,[寛]つくえのしまの,#しただみを,[寛]したたみを,#いひりひもちきて,[寛]いひろひもちきて,#いしもち,[寛]いしもちて,#つつきやぶり,[寛]つつきやふり,#はやかはに[寛],#あらひすすぎ,[寛]あらひすすき,#からしほに[寛],#こごともみ,[寛]ここともみ,#たかつきにもり[寛],#つくゑにたてて,[寛]つくえにたてて,#ははにあへつや,[寛]ははにまつりつや,#めづこのとじ,[寛]めつちこのまけ,#ちちにあへつや,[寛]ちちにまつりつや,#みめこのとじ,[寛]みめちこのまけ,##"
16/3881,"越中國歌四首","大野路者 繁道森ｐ 之氣久登毛 君志通者 ｐ者廣計武","大野道は茂道茂路茂くとも君し通はば道は広けむ","おほのぢは しげちしげみち しげくとも きみしかよはば みちはひろけむ","なし","なし","雑歌 富山 転用 女歌 恋愛 民謡 歌謡","おほのぢは,[寛]おほのちは,#しげちしげみち,[寛]しけちはしけち,#しげくとも,[寛]しけくとも,#きみしかよはば,[寛]きみしかよはは,#みちはひろけむ[寛],##"
16/3882,"（越中國歌四首）","澁谿乃 二上山尓 鷲曽子産跡云 指羽尓毛 君之御為尓 鷲曽子生跡云","渋谿の二上山に鷲ぞ子産むといふ翳にも君のみために鷲ぞ子産むといふ","しぶたにの ふたがみやまに わしぞこむといふ さしはにも きみのみために わしぞこむといふ","なし","なし","雑歌 富山 地名 民謡 歌謡 旋頭歌","しぶたにの,[寛]しふたにの,#ふたがみやまに,[寛]ふたかみやまに,#わしぞこむといふ,[寛]わしそこうむといふ,#さしはにも[寛],#きみのみために,[寛]きみかみために,#わしぞこむといふ,[寛]わしそこうむといふ,##"
